seed,h2,n_causal,r2,spearman
2,0.1,10,0.02393063369809323,0.2238783309874276
2,0.1,20,0.03562762559994881,0.22411260347830236
2,0.1,30,-0.02007760178751461,0.09702249683899135
2,0.1,40,-0.03074336187066895,0.0054983896748336
2,0.1,50,-0.07657948361005595,-0.028447932819619725
2,0.1,60,-0.039131279653865425,0.0214618412577236
2,0.1,70,0.007606561155247604,0.11963356156213473
2,0.1,80,-0.03936755849075668,0.0006133072500417492
2,0.1,90,-0.031130658174611803,0.023608082639501874
2,0.1,100,-0.08559407823454834,-0.056840995300236195
2,0.2,10,0.1558503521598109,0.39324818092897873
2,0.2,20,0.1660487474030512,0.40199537180618844
2,0.2,30,0.11576796091690356,0.3494203306534342
2,0.2,40,-0.007487731990126534,0.1110426795810769
2,0.2,50,-0.041776980979007616,0.09273049120881743
2,0.2,60,-0.03971368123457064,0.08750225445523296
2,0.2,70,0.0014589553094027652,0.15941999666006634
2,0.2,80,-0.044963225939800955,0.05939604456425795
2,0.2,90,-0.014266009393135715,0.07825636376649094
2,0.2,100,-0.08659888950789729,0.01611928334565928
2,0.3,10,0.27241765106601357,0.511711048023475
2,0.3,20,0.26507587230265806,0.4945650690650572
2,0.3,30,0.21821180028529918,0.44876245914545415
2,0.3,40,0.06317760280891294,0.2503803230193001
2,0.3,50,0.07360909605005383,0.2903044588114608
2,0.3,60,-0.004021384636772263,0.2008502516878594
2,0.3,70,0.004749616889296426,0.20327351671159674
2,0.3,80,-0.014275340345660359,0.1541649450103777
2,0.3,90,-0.03771325032345163,0.10114292530476895
2,0.3,100,-0.05683693705036541,0.14013111625354868
2,0.4,10,0.37546856027455633,0.5995622778347687
2,0.4,20,0.37444194487865745,0.5878390151966982
2,0.4,30,0.3602107174857385,0.5741201898990864
2,0.4,40,0.15536728076333628,0.3832098671183529
2,0.4,50,0.20167483749644044,0.44575117494095473
2,0.4,60,0.12865041334495209,0.35364534675668585
2,0.4,70,0.04819638641840496,0.2889321277763199
2,0.4,80,0.04336600931314605,0.2573888398501802
2,0.4,90,-0.013496272471401616,0.17744552329603744
2,0.4,100,0.028926899686924523,0.26565651167783955
2,0.5,10,0.4802486231574501,0.6814339766681776
2,0.5,20,0.4775514708314308,0.6628145143974998
2,0.5,30,0.51306128301642,0.693783238304268
2,0.5,40,0.2815496214859389,0.4994594078774722
2,0.5,50,0.3269124453979111,0.5505854903738341
2,0.5,60,0.26537649713638367,0.4797243123315123
2,0.5,70,0.16299486750691117,0.41866889328911905
2,0.5,80,0.1657397340822263,0.38866130686833505
2,0.5,90,0.08165246674943027,0.31798153493809195
2,0.5,100,0.08818992459879671,0.34725414509626173
2,0.6,10,0.593272802763291,0.7570056063172461
2,0.6,20,0.5890548209753955,0.7394137939260922
2,0.6,30,0.6274184532478948,0.7736010687787772
2,0.6,40,0.47650880043831334,0.6614670897249327
2,0.6,50,0.5077906403901306,0.6856016413388364
2,0.6,60,0.35527190144284004,0.570527948087888
2,0.6,70,0.31221199337478867,0.5549059331536131
2,0.6,80,0.28540938111207215,0.5119492330080875
2,0.6,90,0.1588503093628948,0.41746880740511016
2,0.6,100,0.20705661898943806,0.45681885631128183
42,0.1,10,0.020249201256270832,0.19305914068277788
42,0.1,20,-0.008918630213458512,0.1422823198225064
42,0.1,30,-0.023319959826505032,0.10005114869861871
42,0.1,40,0.014461645421823377,0.186458477467376
42,0.1,50,0.01035067459744754,0.13649946322494455
42,0.1,60,0.007411032192160549,0.14314554953837347
42,0.1,70,-0.02363348463873094,0.07875840351170171
42,0.1,80,-0.023676719061634488,0.06400839754753442
42,0.1,90,-0.03657619604520246,0.06940506238518979
42,0.1,100,-0.010502273138760954,0.05717642006823009
42,0.2,10,0.13316515048393984,0.3741101700980509
42,0.2,20,0.06678458752570904,0.29164778013693726
42,0.2,30,0.08511868804187805,0.3036103728797385
42,0.2,40,0.06259176258624666,0.2791829567955722
42,0.2,50,0.010344536060987064,0.19845275186678438
42,0.2,60,0.03546430921969901,0.23042402843714965
42,0.2,70,-0.018845146582258332,0.1513721878951261
42,0.2,80,0.004836330940845013,0.16895732041892314
42,0.2,90,0.008296715852033176,0.1638436911038481
42,0.2,100,-0.008375679931116098,0.10981367941408023
42,0.3,10,0.22982667581512894,0.4831320943769831
42,0.3,20,0.18526239292330637,0.4250913948994442
42,0.3,30,0.22169298588764086,0.45216585156380473
42,0.3,40,0.13246835366796272,0.3673407925185486
42,0.3,50,0.05949052699247215,0.2698845814347401
42,0.3,60,0.07827513104006689,0.30603468759691776
42,0.3,70,0.0624355188331398,0.29024262232507103
42,0.3,80,0.005416196584394961,0.19181038719374002
42,0.3,90,0.06640316760511511,0.25147458071904
42,0.3,100,-0.016486984810482275,0.1308889472051912
42,0.4,10,0.3332120932152174,0.5770755540711408
42,0.4,20,0.27105933167285046,0.5188887563518383
42,0.4,30,0.3819260460172177,0.5851002695803613
42,0.4,40,0.23677136819583677,0.4799138297110957
42,0.4,50,0.1354961419812062,0.3894485769496863
42,0.4,60,0.15536927134606637,0.4039046687501492
42,0.4,70,0.1281433306572457,0.38419610182026387
42,0.4,80,0.07016314518890254,0.3116718276594222
42,0.4,90,0.1456788400909922,0.355808383233533
42,0.4,100,0.002948304216491504,0.17597957869122316
42,0.5,10,0.4676922782941966,0.6754407042488729
42,0.5,20,0.37725201702815137,0.6091700264809029
42,0.5,30,0.5125964887035162,0.680805114869862
42,0.5,40,0.35110020138735587,0.5744365293317747
42,0.5,50,0.20898878909524354,0.4644853400768185
42,0.5,60,0.22866919741942437,0.48394083546055305
42,0.5,70,0.21267046964588354,0.4705739437459742
42,0.5,80,0.11887652794054482,0.36928520647947133
42,0.5,90,0.23717729814351218,0.4620747668010593
42,0.5,100,0.023148197335847276,0.220447073979531
42,0.6,10,0.5685192394315794,0.7451579072929838
42,0.6,20,0.5077047187190189,0.7006013789154758
42,0.6,30,0.6158961183562591,0.7559878808120811
42,0.6,40,0.505361456553818,0.6836544600042942
42,0.6,50,0.4196019577777046,0.6444324736980223
42,0.6,60,0.34573973883823894,0.5804789464894912
42,0.6,70,0.29575405064995186,0.5486776248300212
42,0.6,80,0.19204176361897973,0.45104840518166855
42,0.6,90,0.3316457510443852,0.5450322303599973
42,0.6,100,0.17656782491446743,0.4033881241501062
99,0.1,10,-0.01028271786461099,0.14603669155712481
99,0.1,20,-0.010291538731985739,0.15946360665123938
99,0.1,30,-0.05988650663774031,0.0540888899491853
99,0.1,40,-0.005250789560181435,0.11188119378772338
99,0.1,50,-0.02215757967688825,0.12282968723906769
99,0.1,60,-0.07832539377803682,-0.029840303456831363
99,0.1,70,0.003282543919765457,0.09517532266145001
99,0.1,80,-0.021014104862519423,0.03704587637474056
99,0.1,90,-0.030363757398941038,0.03768227688050194
99,0.1,100,0.01283838004931992,0.16941670443972615
99,0.2,10,0.09247784064663833,0.3056897201612711
99,0.2,20,0.08990135440616032,0.31908628957224994
99,0.2,30,0.029424040316594735,0.22941078798578146
99,0.2,40,0.08784539019435678,0.3052059069112771
99,0.2,50,0.032864615928185126,0.24537481212873058
99,0.2,60,-0.050007231899712234,0.08687682801727223
99,0.2,70,0.04357266222488965,0.1978188324546127
99,0.2,80,-0.00644832893266889,0.1354337381014863
99,0.2,90,-0.006934965124902437,0.11477023641959112
99,0.2,100,0.041516424235914506,0.23175608941479595
99,0.3,10,0.1882526627383292,0.4154866999069591
99,0.3,20,0.2373158465233144,0.48079165970847154
99,0.3,30,0.1608301607947189,0.3968389913400291
99,0.3,40,0.22986239449479562,0.48061903285063345
99,0.3,50,0.14921032392896105,0.39302936755970136
99,0.3,60,0.012739166012154302,0.2230740749576544
99,0.3,70,0.08125534245165911,0.2836480664169669
99,0.3,80,0.01701788534113846,0.18729575112722763
99,0.3,90,0.08708610209430612,0.2915553116873822
99,0.3,100,0.10706857509576773,0.3371387265310018
99,0.4,10,0.301642679921187,0.521160292959897
99,0.4,20,0.3934798148859934,0.6147831190209224
99,0.4,30,0.3076985079682445,0.5374970537013621
99,0.4,40,0.3210508394120971,0.5633993844979365
99,0.4,50,0.2762284826601621,0.5080442779779087
99,0.4,60,0.1134895206356642,0.3576125199799604
99,0.4,70,0.17846212162670938,0.4170093279576305
99,0.4,80,0.11755525580415438,0.32549810339480406
99,0.4,90,0.17597123998704423,0.3806547224276547
99,0.4,100,0.1991729343588815,0.4370938759930339
99,0.5,10,0.42191320206564864,0.6198074289667677
99,0.5,20,0.49502449969917983,0.6916081780661784
99,0.5,30,0.4253281119425626,0.6379416465873036
99,0.5,40,0.42790566563119625,0.6533196555096978
99,0.5,50,0.4420763269333351,0.6367736240666079
99,0.5,60,0.22810970594329183,0.4721353150273159
99,0.5,70,0.2327284847386515,0.4724119569625689
99,0.5,80,0.18659285075106202,0.4278603907722404
99,0.5,90,0.26415845652182757,0.4662764033685617
99,0.5,100,0.26472607627799594,0.5002195767826897
99,0.6,10,0.5305688607204964,0.7042445785719398
99,0.6,20,0.600243855781052,0.7653130710690175
99,0.6,30,0.5521874606041921,0.7311017486938475
99,0.6,40,0.550443164512981,0.7397583796550327
99,0.6,50,0.5566883709927661,0.726021518715557
99,0.6,60,0.34760511079092304,0.5692587732900732
99,0.6,70,0.3453285206675166,0.5826137366700862
99,0.6,80,0.2609235089761144,0.5033214209032135
99,0.6,90,0.3353915838510817,0.5424195433833529
99,0.6,100,0.34019114276060736,0.5658299973757664
2026,0.1,10,0.07194027547124182,0.2597183004508911
2026,0.1,20,-0.009601098019830667,0.15158699334398934
2026,0.1,30,-0.028975251304252492,0.09889457737910635
2026,0.1,40,0.004550382879327297,0.12563990743612377
2026,0.1,50,-0.08079937811110915,-0.014204260801106951
2026,0.1,60,-0.014392158595381455,0.07279728988238662
2026,0.1,70,-0.03827483739443527,0.00861893742395687
2026,0.1,80,-0.007227251292233339,0.06728744900636974
2026,0.1,90,-0.0595078106770448,0.039534890378605345
2026,0.1,100,-0.005040117482084883,0.07580427988644227
2026,0.2,10,0.1923092199323897,0.41329541713385975
2026,0.2,20,0.05428237565938909,0.2914113128325023
2026,0.2,30,0.06575171011157632,0.2856396211560942
2026,0.2,40,0.09135787447778287,0.28630293198463636
2026,0.2,50,-0.0439299043103476,0.09766080587828328
2026,0.2,60,0.04840059786188633,0.22627735763532697
2026,0.2,70,-0.02908055504442575,0.11518572416919151
2026,0.2,80,0.01849045391493842,0.1642292148770189
2026,0.2,90,-0.027684794104292587,0.1372954171338598
2026,0.2,100,-0.01947652792669352,0.12428131784240286
2026,0.3,10,0.2792911115289616,0.5027143163871461
2026,0.3,20,0.187398573048834,0.45225574349309355
2026,0.3,30,0.17627904534197347,0.4134099291456927
2026,0.3,40,0.22660500366309844,0.44078326216093716
2026,0.3,50,0.019290502804121812,0.225969415750173
2026,0.3,60,0.09036397897075465,0.3238992294295871
2026,0.3,70,-0.0002975566734495505,0.20100331607700933
